sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,Con bim trắng tai đen,9786044775074,Gavriil Troyepolsky,L,Văn học & Tiểu thuyết,NXB Văn Học,2023,vi,Ngô Thanh Tùng,
DS_main,Còn chút gì để nhớ,9786041200296,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Trẻ,2022,vi,Ngô Thanh Tùng,
DS_main,Con hoang,9786043139853,Lê Hồng Nguyên,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,,vi,Ngô Thanh Tùng,
DS_main,Con mèo và hải âu,9786045313589,Luis Sepúlveda,L,Văn học & Tiểu thuyết,Nhà xuất bản Văn học,2011,vi,Hồ Khổng Tuyết Như,
DS_main,Con trai người thợ gốm,9786049698507,Tony Mitton,L,Văn học & Tiểu thuyết,NXB Văn học,2018,vi,Ngô Thanh Tùng,
DS_main,Coraline,9786043835946,Neil Gaiman,L,Văn học & Tiểu thuyết,Hội Nhà Văn,2023,vi,Ngô Thanh Tùng,
DS_main,Cô gà mái xổng chuồng,9786044734019,Hwang Sun‑mi,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2013,vi,Ngô Thanh Tùng,
DS_main,Công chúa nhỏ,9786326230314,Frances Hodgson Burnett,L,Văn học & Tiểu thuyết,NXB tiếng Việt,2021,vi,Ngô Thanh Tùng,
DS_main,Cơ sở văn hóa Việt Nam,9786044950044,GS. TSKH. Trần Ngọc Thêm,L,Văn học & Tiểu thuyết,NXB Giáo dục,1999,vi,Ngô Thanh Tùng,
DS_main,Của thiên trả địa,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Cuộc cách mạng một cọng rơm,9786045831809,Masanobu Fukuoka,L,Văn học & Tiểu thuyết,NXB Tổng Hợp TP. Hồ Chí Minh,1975,vi,Hà Công Thuận,
DS_main,Cuộc đời của Pi,9786043944556,Yann Martel,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2019,vi,Ngô Thanh Tùng,
DS_main,Cuộc đời ngoài cửa,9786045309490,Nguyễn Danh Lam,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2017,vi,Ngô Thanh Tùng,
DS_main,Cứu vật vật trả ơn cứu nhân nhân trả oán,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,Không rõ,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Danh nhân cách mạng Việt Nam,8936067602302,Lê Minh Quốc,H,Lịch sử,NXB Văn Học,2009,vi,Bùi Minh Quân,
DS_main,Dế mèn phiêu lưu ký,9786042372831,Tô Hoài,L,Văn học & Tiểu thuyết,NXB Kim Đồng,1941,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Dữ liệu lớn - Big data,9786041143852,Nhiều tác giả,I,Công nghệ thông tin & Tin học,NXB Trẻ,2013,vi,Hà Công Thuận,
DS_main,Dứt tình,9786045874226,Vũ Trọng Phụng,L,Văn học & Tiểu thuyết,Nhà xuất bản Văn học,1934,vi,Ngô Thanh Tùng,
DS_main,Đại Việt sử ký toàn thư,9786044878201,,L,Văn học & Tiểu thuyết,NXB tiếng Việt,1993,vi,Nguyễn Trọng Quý,
DS_main,Đại Việt sử lược,,Không rõ,H,Lịch sử,NXB Khoa học Xã hội,1983,vi,Ngô Thanh Tùng,
DS_main,Đảo,9786044955414,Nguyễn Ngọc Tư,L,Văn học & Tiểu thuyết,NXB Trẻ,2019,vi,Ngô Thanh Tùng,
DS_main,Đảo Giấu Vàng,9786326173765,Robert Louis Stevenson,L,Văn học & Tiểu thuyết,NXB Văn học,1985,vi,Ngô Thanh Tùng,
DS_main,Đắc nhân tâm,9786326176681,Dale Carnegie,L,Văn học & Tiểu thuyết,First News – Trí Việt,1936,vi,Bùi Minh Quân,
DS_main,Đất rừng phương Nam,9786042258081,Đoàn Giỏi,L,Văn học & Tiểu thuyết,NXB Kim Đồng,1954,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Đấu trường sinh tử,9786043685206,Suzanne Collins,L,Văn học & Tiểu thuyết,NXB Trẻ,2016,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Điều kỳ diệu của tiệm tạp hóa Namiya,9786045364673,Higashino Keigo,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2025,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Đồng tiền Vạn Lịch,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Ngô Thanh Tùng,
DS_main,Đừng bao giờ nói dối,9786044919386,Freida McFadden,L,Văn học & Tiểu thuyết,NXB Văn Học,2024,vi,Ngô Thanh Tùng,
